iter	Passed	Remaining
165	285	1436
166	287	1431
167	287	1426
168	288	1420
169	289	1414
170	290	1408
171	291	1403
172	292	1397
173	293	1392
174	294	1386
175	294	1380
176	295	1375
177	296	1369
178	297	1364
179	298	1360
180	299	1355
181	300	1350
182	301	1345
183	302	1340
184	303	1335
185	303	1329
186	304	1325
187	305	1320
188	306	1316
189	307	1310
190	308	1305
191	309	1300
192	309	1295
193	310	1290
194	311	1285
195	312	1281
196	313	1276
197	314	1271
198	314	1267
199	315	1262
200	316	1257
201	317	1253
202	318	1249
203	319	1245
204	320	1241
205	320	1236
206	321	1231
207	322	1227
208	323	1223
209	324	1219
210	325	1215
211	326	1212
212	327	1208
213	327	1204
214	328	1200
215	329	1197
216	330	1193
217	331	1190
218	332	1186
219	333	1181
220	334	1178
221	335	1174
222	336	1170
223	336	1167
224	337	1163
225	338	1160
226	339	1156
227	340	1152
228	341	1149
229	342	1145
230	343	1141
231	343	1138
232	344	1135
233	345	1131
234	346	1128
235	347	1124
236	348	1121
237	349	1118
238	350	1115
239	351	1111
240	351	1108
241	352	1104
242	353	1101
243	354	1098
244	355	1095
245	356	1092
246	357	1088
247	357	1085
248	358	1081
249	359	1078
250	360	1075
251	361	1072
252	362	1069
253	363	1066
254	363	1063
255	364	1060
256	365	1056
257	366	1053
258	367	1050
259	368	1047
260	369	1044
261	369	1041
262	370	1038
263	371	1035
264	372	1032
265	373	1029
266	374	1027
267	374	1024
268	375	1021
269	376	1018
270	377	1015
271	378	1012
272	379	1009
273	380	1006
274	380	1004
275	381	1001
276	382	998
277	383	996
278	384	993
279	385	991
280	386	989
281	387	986
282	388	983
283	389	980
284	389	978
285	390	975
286	391	972
287	392	970
288	393	968
289	394	965
290	395	963
291	396	960
292	396	957
293	397	955
294	398	952
295	399	950
296	400	948
297	401	946
298	402	943
299	403	941
300	404	938
301	405	936
302	406	934
303	407	931
304	407	929
305	408	927
306	409	924
307	410	922
308	411	920
309	412	918
310	413	916
311	414	913
312	415	911
313	416	909
314	416	906
315	417	904
316	418	902
317	419	899
318	420	897
319	421	895
320	422	893
321	423	890
322	423	888
323	424	886
324	425	884
325	426	882
326	427	880
327	428	877
328	429	875
329	430	873
330	431	871
331	432	869
332	433	867
333	433	865
334	434	863
335	435	861
336	436	859
337	437	857
338	438	855
339	439	853
340	440	851
341	441	848
342	441	846
343	442	844
344	443	842
345	444	840
346	445	839
347	446	836
348	447	834
349	448	832
350	449	831
351	450	829
352	451	827
353	452	825
354	452	822
355	453	820
356	454	818
357	455	817
358	456	815
359	457	813
360	458	811
361	459	809
362	460	807
363	461	805
364	462	803
365	463	802
366	464	800
367	464	798
368	465	796
369	466	794
370	467	792
371	468	790
372	469	789
373	470	787
374	471	785
375	472	783
376	473	781
377	473	779
378	475	778
379	475	776
380	476	774
381	477	773
382	478	771
383	479	769
384	480	767
385	481	765
386	482	763
387	483	762
388	484	760
389	484	758
390	485	756
391	486	755
392	487	753
393	488	751
394	489	750
395	490	748
396	491	746
397	492	744
398	493	743
399	494	741
400	495	739
401	496	738
402	497	736
403	498	734
404	499	733
405	500	731
406	501	730
407	501	728
408	502	726
409	503	724
410	504	723
411	505	721
412	506	719
413	507	718
414	508	716
415	508	714
416	509	712
417	510	711
418	511	709
419	513	708
420	513	706
421	514	705
422	515	703
423	516	701
424	517	700
425	518	698
426	519	696
427	520	695
428	520	693
429	521	691
430	522	690
431	523	688
432	524	686
433	525	685
434	526	683
435	527	682
436	528	680
437	529	679
438	530	677
439	530	675
440	531	674
441	532	672
442	533	671
443	534	669
444	535	667
445	536	666
446	537	664
447	538	663
448	539	661
449	540	660
450	541	658
451	541	656
452	542	655
453	543	653
454	544	652
455	545	650
456	546	649
457	547	647
458	548	646
459	549	644
460	550	643
461	551	641
462	552	640
463	552	638
464	553	637
465	554	635
466	555	634
467	556	632
468	557	631
469	558	629
470	559	628
471	560	626
472	561	625
473	561	623
474	562	622
475	563	620
476	564	618
477	565	617
478	566	615
479	567	614
480	568	613
481	569	611
482	570	610
483	571	608
484	572	607
485	572	605
486	573	604
487	574	603
488	575	601
489	576	600
490	577	598
491	578	597
492	579	596
493	580	594
494	581	593
495	582	591
496	583	590
497	583	588
498	584	587
499	585	585
500	586	584
501	587	583
502	588	581
503	589	580
504	590	578
505	591	577
506	592	575
507	593	574
508	594	573
509	594	571
510	595	570
511	596	568
512	597	567
513	598	566
514	599	564
515	600	563
516	601	562
517	602	560
518	603	559
519	604	558
520	605	556
521	606	555
522	607	554
523	608	552
524	609	551
525	610	550
526	611	548
527	612	547
528	613	546
529	614	544
530	615	543
531	616	542
532	617	540
533	618	539
534	619	538
535	620	537
536	621	535
537	622	534
538	623	532
539	624	531
540	625	530
541	626	529
542	627	527
543	627	526
544	628	525
545	630	523
546	631	522
547	632	521
548	632	519
549	633	518
550	634	517
551	635	515
552	636	514
553	637	513
554	638	512
555	639	510
556	640	509
557	641	508
558	642	506
559	643	505
560	644	504
561	645	502
562	646	501
563	646	500
564	647	498
565	648	497
566	649	496
567	650	494
568	651	493
569	652	492
570	653	490
571	654	489
572	654	488
573	656	486
574	656	485
575	657	484
576	658	482
577	659	481
578	660	480
579	661	478
580	662	477
581	663	476
582	663	474
583	664	473
584	665	472
585	666	470
586	667	469
587	668	468
588	669	466
589	669	465
590	670	464
591	671	463
592	672	461
593	673	460
594	674	459
595	675	458
596	676	456
597	677	455
598	678	454
599	679	452
600	680	451
601	680	450
602	681	448
603	682	447
604	683	446
605	684	445
606	685	443
607	686	442
608	687	441
609	688	440
610	689	438
611	690	437
612	690	436
613	691	434
614	692	433
615	693	432
616	694	431
617	695	429
618	696	428
619	697	427
620	698	426
621	699	424
622	700	423
623	700	422
624	701	420
625	702	419
626	703	418
627	704	417
628	705	415
629	706	414
630	706	413
631	707	412
632	708	410
633	709	409
634	710	408
635	710	406
636	711	405
637	712	404
638	713	403
639	714	401
640	715	400
641	715	399
642	716	397
643	717	396
644	718	395
645	719	394
646	720	392
647	721	391
648	722	390
649	722	389
650	723	388
651	725	386
652	725	385
653	726	384
654	727	383
655	728	382
656	729	380
657	730	379
658	731	378
659	732	377
660	733	376
661	734	374
662	734	373
663	735	372
664	736	371
665	737	370
666	738	368
667	739	367
668	740	366
669	741	365
670	742	363
671	742	362
672	743	361
673	744	360
674	745	358
675	746	357
676	747	356
677	748	355
678	749	354
679	750	353
680	751	351
681	752	350
682	752	349
683	753	348
684	754	346
685	755	345
686	756	344
687	757	343
688	758	342
689	759	341
690	759	339
691	760	338
692	761	337
693	762	336
694	763	335
695	764	333
696	765	332
697	766	331
698	766	330
699	767	329
700	768	327
701	769	326
702	770	325
703	771	324
704	772	323
705	773	322
706	774	321
707	775	319
708	776	318
709	777	317
710	778	316
711	779	315
712	779	313
713	780	312
714	781	311
715	782	310
716	783	309
717	784	307
718	784	306
719	785	305
720	786	304
721	787	303
722	788	302
723	789	300
724	790	299
725	791	298
726	792	297
727	793	296
728	793	295
729	794	293
730	795	292
731	796	291
732	797	290
733	798	289
734	799	288
735	800	287
736	801	285
737	801	284
738	802	283
739	803	282
740	804	281
741	805	280
742	806	278
743	807	277
744	808	276
745	808	275
746	809	274
747	810	273
748	811	271
749	812	270
750	813	269
751	814	268
752	815	267
753	815	266
754	816	265
755	817	263
756	818	262
757	819	261
758	820	260
759	821	259
760	822	258
761	823	257
762	824	256
763	825	254
764	826	253
765	826	252
766	827	251
767	828	250
768	829	249
769	830	248
770	831	246
771	832	245
772	833	244
773	834	243
774	835	242
775	835	241
776	836	240
777	837	239
778	838	237
779	839	236
780	840	235
781	841	234
782	842	233
783	843	232
784	843	231
785	844	230
786	845	228
787	846	227
788	847	226
789	848	225
790	849	224
791	850	223
792	851	222
793	852	221
794	853	219
795	853	218
796	854	217
797	855	216
798	856	215
799	857	214
800	858	213
801	859	212
802	860	211
803	861	209
804	862	208
805	863	207
806	864	206
807	865	205
808	865	204
809	866	203
810	867	202
811	868	201
812	869	200
813	870	198
814	871	197
815	872	196
816	873	195
817	874	194
818	875	193
819	876	192
820	877	191
821	878	190
822	879	189
823	880	188
824	881	186
825	882	185
826	883	184
827	883	183
828	884	182
829	885	181
830	886	180
831	887	179
832	888	178
833	889	177
834	890	175
835	891	174
836	891	173
837	892	172
838	893	171
839	894	170
840	895	169
841	896	168
842	897	167
843	898	165
844	899	164
845	899	163
846	900	162
847	901	161
848	902	160
849	903	159
850	904	158
851	905	157
852	906	156
853	907	155
854	908	153
855	908	152
856	909	151
857	910	150
858	911	149
859	913	148
860	913	147
861	914	146
862	915	145
863	916	144
864	917	143
865	918	142
866	919	141
867	920	139
868	921	138
869	922	137
870	923	136
871	924	135
872	925	134
873	926	133
874	927	132
875	928	131
876	929	130
877	930	129
878	931	128
879	932	127
880	933	126
881	934	125
882	935	123
883	936	122
884	937	121
885	938	120
886	939	119
887	940	118
888	941	117
889	942	116
890	943	115
891	944	114
892	945	113
893	946	112
894	947	111
895	948	110
896	949	109
897	950	107
898	951	106
899	952	105
900	953	104
901	954	103
902	955	102
903	956	101
904	957	100
905	958	99
906	959	98
907	960	97
908	961	96
909	962	95
910	963	94
911	964	93
912	965	92
913	966	90
914	967	89
915	968	88
916	969	87
917	970	86
918	971	85
919	972	84
920	973	83
921	974	82
922	975	81
923	976	80
924	977	79
925	978	78
926	979	77
927	980	76
928	981	75
929	982	73
930	983	72
931	984	71
932	985	70
933	985	69
934	987	68
935	988	67
936	989	66
937	989	65
938	990	64
939	991	63
940	992	62
941	993	61
942	994	60
943	995	59
944	996	58
945	997	56
946	998	55
947	999	54
948	1000	53
949	1001	52
950	1002	51
951	1003	50
952	1005	49
953	1006	48
954	1007	47
955	1008	46
956	1009	45
957	1010	44
958	1011	43
959	1012	42
960	1013	41
961	1014	40
962	1015	39
963	1016	37
964	1017	36
965	1018	35
966	1019	34
967	1020	33
968	1021	32
969	1022	31
970	1023	30
971	1024	29
972	1026	28
973	1027	27
974	1028	26
975	1029	25
976	1029	24
977	1030	23
978	1031	22
979	1032	21
980	1033	20
981	1035	18
982	1035	17
983	1037	16
984	1037	15
985	1039	14
986	1040	13
987	1041	12
988	1042	11
989	1043	10
990	1044	9
991	1045	8
992	1046	7
993	1048	6
994	1049	5
995	1051	4
996	1051	3
997	1052	2
998	1053	1
999	1055	0
